time,ip,message
40.345078, 127.0.0.1, /block 13 86 75
40.372687, 127.0.0.1, /block 14 86 77
40.401608, 127.0.0.1, /block 14 86 64
40.429666, 127.0.0.1, /block 14 86 64
40.457095, 127.0.0.1, /block 15 86 55
40.484325, 127.0.0.1, /block 19 86 48
40.513664, 127.0.0.1, /block 19 85 29
40.541863, 127.0.0.1, /block 22 82 24
40.569261, 127.0.0.1, /block 24 80 32
40.597615, 127.0.0.1, /block 26 79 33
40.624942, 127.0.0.1, /block 26 77 46
40.652498, 127.0.0.1, /block 27 75 47
40.681617, 127.0.0.1, /block 29 70 32
40.708245, 127.0.0.1, /block 29 66 28
40.736462, 127.0.0.1, /block 29 62 33
40.764985, 127.0.0.1, /block 31 57 30
40.793850, 127.0.0.1, /block 31 52 41
40.820953, 127.0.0.1, /block 31 49 37
40.849878, 127.0.0.1, /block 34 42 42
40.876784, 127.0.0.1, /block 35 37 62
40.905263, 127.0.0.1, /block 38 31 36
40.933399, 127.0.0.1, /block 39 28 51
40.960697, 127.0.0.1, /block 42 25 59
40.988468, 127.0.0.1, /block 45 20 39
41.017468, 127.0.0.1, /block 48 18 44
41.045407, 127.0.0.1, /block 48 14 40
41.073857, 127.0.0.1, /block 54 15 38
41.101142, 127.0.0.1, /block 60 15 53
41.129066, 127.0.0.1, /block 65 20 24
41.156480, 127.0.0.1, /block 72 23 53
41.184857, 127.0.0.1, /block 77 30 47
41.213249, 127.0.0.1, /block 84 38 37
41.241072, 127.0.0.1, /block 89 48 58
41.269160, 127.0.0.1, /block 94 59 25
41.298015, 127.0.0.1, /block 100 69 46
41.325514, 127.0.0.1, /block 102 79 54
41.352804, 127.0.0.1, /block 109 88 44
41.381566, 127.0.0.1, /block 111 98 44
41.410121, 127.0.0.1, /block 112 104 67
41.437016, 127.0.0.1, /block 113 108 43
41.465967, 127.0.0.1, /block 112 107 48
41.493275, 127.0.0.1, /block 114 108 31
41.520800, 127.0.0.1, /block 115 103 43
41.548968, 127.0.0.1, /block 114 95 48
41.577287, 127.0.0.1, /block 113 86 47
41.605464, 127.0.0.1, /block 112 75 39
41.632967, 127.0.0.1, /block 113 65 56
41.660486, 127.0.0.1, /block 110 56 40
41.688976, 127.0.0.1, /block 109 46 53
41.716826, 127.0.0.1, /block 107 38 34
41.746045, 127.0.0.1, /block 103 33 26
41.773774, 127.0.0.1, /block 104 30 32
41.801422, 127.0.0.1, /block 101 32 62
41.829705, 127.0.0.1, /block 97 35 69
41.857095, 127.0.0.1, /block 90 43 29
41.885169, 127.0.0.1, /block 86 52 41
41.912489, 127.0.0.1, /block 79 61 35
41.941324, 127.0.0.1, /block 71 66 48
41.968692, 127.0.0.1, /block 58 70 46
41.998110, 127.0.0.1, /block 48 73 25
42.024904, 127.0.0.1, /block 40 71 16
42.052682, 127.0.0.1, /block 34 65 29
42.081480, 127.0.0.1, /block 29 59 30
42.108519, 127.0.0.1, /block 27 52 30
42.137302, 127.0.0.1, /block 29 47 27
42.166025, 127.0.0.1, /block 32 45 23
42.193115, 127.0.0.1, /block 41 48 38
42.220786, 127.0.0.1, /block 56 53 40
42.249604, 127.0.0.1, /block 71 64 24
42.277603, 127.0.0.1, /block 91 79 34
42.304973, 127.0.0.1, /block 107 94 42
42.333289, 127.0.0.1, /block 115 103 20
42.361517, 127.0.0.1, /block 117 109 41
42.389184, 127.0.0.1, /block 115 110 32
42.416959, 127.0.0.1, /block 114 108 29
42.445993, 127.0.0.1, /block 110 106 28
42.472823, 127.0.0.1, /block 99 98 21
42.500883, 127.0.0.1, /block 84 91 34
42.529757, 127.0.0.1, /block 71 80 34
42.557424, 127.0.0.1, /block 61 69 39
42.584718, 127.0.0.1, /block 51 58 46
42.613600, 127.0.0.1, /block 44 47 53
42.641050, 127.0.0.1, /block 41 36 64
42.668726, 127.0.0.1, /block 41 30 58
42.698122, 127.0.0.1, /block 44 25 80
42.725538, 127.0.0.1, /block 50 19 55
42.752661, 127.0.0.1, /block 59 18 50
42.783317, 127.0.0.1, /block 70 18 44
42.809229, 127.0.0.1, /block 82 18 39
42.836677, 127.0.0.1, /block 94 18 60
42.865141, 127.0.0.1, /block 102 25 85
42.893584, 127.0.0.1, /block 108 30 64
42.921715, 127.0.0.1, /block 113 35 50
42.949435, 127.0.0.1, /block 112 41 42
42.978049, 127.0.0.1, /block 112 47 67
43.005323, 127.0.0.1, /block 108 49 38
43.032994, 127.0.0.1, /block 104 54 45
43.062133, 127.0.0.1, /block 101 58 62
43.089247, 127.0.0.1, /block 97 61 42
43.116479, 127.0.0.1, /block 94 63 36
43.145093, 127.0.0.1, /block 88 66 17
43.172942, 127.0.0.1, /block 78 64 16
43.201650, 127.0.0.1, /block 73 62 19
43.228889, 127.0.0.1, /block 68 59 17
43.257638, 127.0.0.1, /block 64 57 25
43.284826, 127.0.0.1, /block 58 54 23
43.313932, 127.0.0.1, /block 53 49 9
43.341100, 127.0.0.1, /block 53 49 20
43.371204, 127.0.0.1, /block 48 46 34
43.397621, 127.0.0.1, /block 48 42 22
43.424878, 127.0.0.1, /block 47 39 16
43.452832, 127.0.0.1, /block 41 37 22
43.481345, 127.0.0.1, /block 39 30 26
43.509039, 127.0.0.1, /block 39 30 24
43.537391, 127.0.0.1, /block 37 27 40
43.566015, 127.0.0.1, /block 36 22 32
43.593486, 127.0.0.1, /block 33 20 24
43.620635, 127.0.0.1, /block 33 20 12
43.649006, 127.0.0.1, /block 29 15 19
43.676922, 127.0.0.1, /block 29 13 19
43.705304, 127.0.0.1, /block 27 12 15
43.733417, 127.0.0.1, /block 23 12 22
43.760740, 127.0.0.1, /block 19 10 21
43.788471, 127.0.0.1, /block 19 10 15
43.816992, 127.0.0.1, /block 19 10 15
43.845851, 127.0.0.1, /block 19 10 14
43.873370, 127.0.0.1, /block 19 10 13
43.899580, 127.0.0.1, /block 19 10 9
43.930111, 127.0.0.1, /block 16 10 10
43.956975, 127.0.0.1, /block 14 10 11
43.984994, 127.0.0.1, /block 9 10 8
44.014131, 127.0.0.1, /block 9 10 5
44.041540, 127.0.0.1, /block 9 13 10
44.068940, 127.0.0.1, /block 9 14 9
44.098091, 127.0.0.1, /block 0 20 0
44.124501, 127.0.0.1, /block 0 20 4
44.153202, 127.0.0.1, /block 0 20 12
44.181118, 127.0.0.1, /block 2 20 10
44.209908, 127.0.0.1, /block 6 27 21
44.237838, 127.0.0.1, /block 12 30 15
44.265012, 127.0.0.1, /block 19 38 28
44.294099, 127.0.0.1, /block 29 44 34
44.321069, 127.0.0.1, /block 46 46 31
44.349368, 127.0.0.1, /block 62 48 30
44.378064, 127.0.0.1, /block 72 49 19
44.405267, 127.0.0.1, /block 81 51 28
44.433896, 127.0.0.1, /block 84 52 27
44.462063, 127.0.0.1, /block 83 49 23
44.488544, 127.0.0.1, /block 82 49 28
44.517429, 127.0.0.1, /block 78 42 23
44.545789, 127.0.0.1, /block 78 33 28
44.573017, 127.0.0.1, /block 76 26 31
44.600976, 127.0.0.1, /block 78 19 48
44.629704, 127.0.0.1, /block 80 15 46
44.656557, 127.0.0.1, /block 84 12 47
44.684825, 127.0.0.1, /block 90 12 51
44.713707, 127.0.0.1, /block 97 16 49
44.741154, 127.0.0.1, /block 103 24 47
44.769817, 127.0.0.1, /block 107 34 65
44.797861, 127.0.0.1, /block 107 44 53
44.825217, 127.0.0.1, /block 105 52 32
44.852422, 127.0.0.1, /block 101 61 39
44.880521, 127.0.0.1, /block 91 69 44
44.909801, 127.0.0.1, /block 78 71 33
44.937922, 127.0.0.1, /block 66 71 19
44.964956, 127.0.0.1, /block 50 69 31
44.993306, 127.0.0.1, /block 39 62 26
45.021017, 127.0.0.1, /block 29 54 30
45.049002, 127.0.0.1, /block 22 45 28
45.077820, 127.0.0.1, /block 22 39 33
45.104769, 127.0.0.1, /block 23 38 35
45.133628, 127.0.0.1, /block 30 39 35
45.160887, 127.0.0.1, /block 43 48 38
45.189853, 127.0.0.1, /block 58 59 18
45.217359, 127.0.0.1, /block 80 75 21
45.245586, 127.0.0.1, /block 95 88 17
45.272852, 127.0.0.1, /block 111 101 18
45.301455, 127.0.0.1, /block 117 108 18
45.328884, 127.0.0.1, /block 117 113 27
45.356873, 127.0.0.1, /block 117 114 24
45.385098, 127.0.0.1, /block 114 112 18
45.412971, 127.0.0.1, /block 107 108 20
45.440719, 127.0.0.1, /block 95 105 15
45.469943, 127.0.0.1, /block 80 100 22
45.496785, 127.0.0.1, /block 68 92 30
45.525160, 127.0.0.1, /block 53 84 37
45.553760, 127.0.0.1, /block 39 79 27
45.583013, 127.0.0.1, /block 29 73 25
45.608970, 127.0.0.1, /block 25 66 25
45.636983, 127.0.0.1, /block 24 64 41
45.665616, 127.0.0.1, /block 25 64 46
45.693243, 127.0.0.1, /block 31 69 27
45.721723, 127.0.0.1, /block 37 77 37
45.748626, 127.0.0.1, /block 48 87 31
45.777566, 127.0.0.1, /block 57 99 46
45.804792, 127.0.0.1, /block 66 107 42
45.833034, 127.0.0.1, /block 73 115 37
45.860952, 127.0.0.1, /block 78 118 22
45.889221, 127.0.0.1, /block 81 118 11
45.917978, 127.0.0.1, /block 88 121 19
45.945595, 127.0.0.1, /block 88 118 3
45.972957, 127.0.0.1, /block 88 118 8
46.000983, 127.0.0.1, /block 88 118 8
46.028968, 127.0.0.1, /block 88 118 10
46.057076, 127.0.0.1, /block 88 118 9
46.084872, 127.0.0.1, /block 88 118 8
46.113968, 127.0.0.1, /block 88 118 6
46.191581, 127.0.0.1, /block 88 118 0
46.195754, 127.0.0.1, /block 88 108 0
46.265283, 127.0.0.1, /block 88 108 0
46.494966, 127.0.0.1, /block 88 108 0
46.504413, 127.0.0.1, /block 88 98 0
46.531889, 127.0.0.1, /block 88 98 2
46.559019, 127.0.0.1, /block 88 95 10
46.587446, 127.0.0.1, /block 84 92 18
46.614806, 127.0.0.1, /block 82 91 53
46.643416, 127.0.0.1, /block 81 92 81
46.671889, 127.0.0.1, /block 75 89 70
46.698746, 127.0.0.1, /block 73 86 95
46.727699, 127.0.0.1, /block 71 84 109
46.755917, 127.0.0.1, /block 68 82 120
46.782977, 127.0.0.1, /block 65 77 78
46.811800, 127.0.0.1, /block 61 72 54
46.839949, 127.0.0.1, /block 58 67 30
46.867371, 127.0.0.1, /block 58 61 24
46.895819, 127.0.0.1, /block 63 59 9
46.923464, 127.0.0.1, /block 68 59 4
46.950958, 127.0.0.1, /block 68 59 3
46.979391, 127.0.0.1, /block 68 56 21
47.007739, 127.0.0.1, /block 65 55 34
47.034540, 127.0.0.1, /block 65 53 70
47.062643, 127.0.0.1, /block 63 52 94
47.090970, 127.0.0.1, /block 61 48 103
47.119476, 127.0.0.1, /block 60 45 94
47.147140, 127.0.0.1, /block 58 43 61
47.175736, 127.0.0.1, /block 55 40 47
47.202818, 127.0.0.1, /block 53 39 18
47.231051, 127.0.0.1, /block 48 39 16
47.259948, 127.0.0.1, /block 43 39 11
47.287778, 127.0.0.1, /block 39 39 5
47.316178, 127.0.0.1, /block 36 30 9
47.343490, 127.0.0.1, /block 34 30 36
47.371842, 127.0.0.1, /block 35 29 127
47.399529, 127.0.0.1, /block 36 29 127
47.426963, 127.0.0.1, /block 37 30 103
47.456302, 127.0.0.1, /block 36 31 71
47.483002, 127.0.0.1, /block 36 30 21
47.511710, 127.0.0.1, /block 33 30 15
47.539892, 127.0.0.1, /block 29 30 9
47.567995, 127.0.0.1, /block 23 25 6
47.595128, 127.0.0.1, /block 22 20 8
47.623914, 127.0.0.1, /block 22 21 52
47.650990, 127.0.0.1, /block 22 22 122
47.679020, 127.0.0.1, /block 21 23 127
47.706939, 127.0.0.1, /block 22 23 127
47.735467, 127.0.0.1, /block 23 23 127
47.762758, 127.0.0.1, /block 24 23 104
47.790655, 127.0.0.1, /block 29 25 46
47.839438, 127.0.0.1, /block 29 30 0
47.844895, 127.0.0.1, /block 29 39 0
47.873607, 127.0.0.1, /block 26 39 3
47.901904, 127.0.0.1, /block 22 39 12
47.929030, 127.0.0.1, /block 21 47 66
47.956969, 127.0.0.1, /block 20 53 127
47.986013, 127.0.0.1, /block 20 53 127
48.014012, 127.0.0.1, /block 22 52 127
48.041461, 127.0.0.1, /block 22 53 127
48.069976, 127.0.0.1, /block 25 54 103
48.097183, 127.0.0.1, /block 29 54 35
48.156962, 127.0.0.1, /block 39 59 1
48.177012, 127.0.0.1, /block 39 69 2
48.204846, 127.0.0.1, /block 44 69 8
48.233467, 127.0.0.1, /block 45 79 60
48.261850, 127.0.0.1, /block 46 82 127
48.289033, 127.0.0.1, /block 46 82 127
48.317011, 127.0.0.1, /block 48 82 127
48.344799, 127.0.0.1, /block 51 81 77
48.372708, 127.0.0.1, /block 58 81 34
48.436102, 127.0.0.1, /block 68 79 2
48.452983, 127.0.0.1, /block 72 88 0
48.481690, 127.0.0.1, /block 73 88 17
48.509458, 127.0.0.1, /block 73 92 95
48.537712, 127.0.0.1, /block 73 90 127
48.565922, 127.0.0.1, /block 73 89 127
48.593002, 127.0.0.1, /block 76 89 117
48.686919, 127.0.0.1, /block 97 90 38
48.699154, 127.0.0.1, /block 97 98 4
48.727464, 127.0.0.1, /block 101 98 0
48.755969, 127.0.0.1, /block 101 102 50
48.783088, 127.0.0.1, /block 101 103 127
48.811938, 127.0.0.1, /block 100 103 127
48.838633, 127.0.0.1, /block 100 102 117
48.867577, 127.0.0.1, /block 100 102 72
48.966048, 127.0.0.1, /block 107 101 26
49.123790, 127.0.0.1, /block 105 108 1
49.151428, 127.0.0.1, /block 107 115 38
49.213915, 127.0.0.1, /block 88 118 0
49.231951, 127.0.0.1, /block 78 108 0
49.258916, 127.0.0.1, /block 68 108 3
49.288179, 127.0.0.1, /block 63 108 8
49.315042, 127.0.0.1, /block 61 105 56
49.344004, 127.0.0.1, /block 61 107 112
49.370909, 127.0.0.1, /block 61 108 127
49.399405, 127.0.0.1, /block 62 108 127
49.427691, 127.0.0.1, /block 63 110 101
49.456172, 127.0.0.1, /block 66 110 57
49.483022, 127.0.0.1, /block 68 110 21
49.510819, 127.0.0.1, /block 58 108 2
49.538874, 127.0.0.1, /block 53 108 1
49.567177, 127.0.0.1, /block 45 98 8
49.595395, 127.0.0.1, /block 42 96 27
49.622920, 127.0.0.1, /block 43 93 72
49.651483, 127.0.0.1, /block 43 92 124
49.678580, 127.0.0.1, /block 44 92 127
49.707359, 127.0.0.1, /block 46 92 118
49.735526, 127.0.0.1, /block 48 93 83
49.763848, 127.0.0.1, /block 48 92 29
49.842989, 127.0.0.1, /block 39 88 7
49.871100, 127.0.0.1, /block 39 69 0
49.900023, 127.0.0.1, /block 39 62 26
49.927175, 127.0.0.1, /block 40 61 84
49.955011, 127.0.0.1, /block 41 62 127
49.984565, 127.0.0.1, /block 42 62 125
50.011255, 127.0.0.1, /block 42 63 105
50.039428, 127.0.0.1, /block 41 63 66
50.067776, 127.0.0.1, /block 44 61 19
50.141462, 127.0.0.1, /block 39 59 4
50.150631, 127.0.0.1, /block 39 49 0
50.175238, 127.0.0.1, /block 36 49 0
50.203667, 127.0.0.1, /block 34 45 54
50.230920, 127.0.0.1, /block 34 45 127
50.259462, 127.0.0.1, /block 37 45 127
50.287745, 127.0.0.1, /block 41 45 127
50.314923, 127.0.0.1, /block 45 45 86
50.343815, 127.0.0.1, /block 48 47 33
50.445089, 127.0.0.1, /block 48 46 12
50.449721, 127.0.0.1, /block 48 35 7
50.477378, 127.0.0.1, /block 45 35 11
50.504735, 127.0.0.1, /block 44 34 82
50.533634, 127.0.0.1, /block 44 34 127
50.562024, 127.0.0.1, /block 45 33 127
50.589141, 127.0.0.1, /block 47 33 127
50.617026, 127.0.0.1, /block 58 34 42
50.710209, 127.0.0.1, /block 78 36 6
50.723011, 127.0.0.1, /block 80 39 1
50.751043, 127.0.0.1, /block 79 36 32
50.779463, 127.0.0.1, /block 77 36 79
50.807999, 127.0.0.1, /block 78 36 112
50.835513, 127.0.0.1, /block 80 35 106
50.863948, 127.0.0.1, /block 80 35 66
51.049051, 127.0.0.1, /block 88 36 33
51.118976, 127.0.0.1, /block 81 39 1
51.147862, 127.0.0.1, /block 81 51 26
51.175809, 127.0.0.1, /block 80 57 28
51.203812, 127.0.0.1, /block 80 61 19
51.231336, 127.0.0.1, /block 80 66 36
51.260010, 127.0.0.1, /block 75 71 37
51.287056, 127.0.0.1, /block 70 74 55
51.315026, 127.0.0.1, /block 64 76 53
51.343917, 127.0.0.1, /block 58 77 61
51.370830, 127.0.0.1, /block 51 79 48
51.398901, 127.0.0.1, /block 45 80 46
51.427445, 127.0.0.1, /block 41 79 54
51.455922, 127.0.0.1, /block 36 77 39
51.483027, 127.0.0.1, /block 31 75 57
51.512657, 127.0.0.1, /block 27 73 56
51.539744, 127.0.0.1, /block 24 71 36
51.567947, 127.0.0.1, /block 22 66 40
51.594466, 127.0.0.1, /block 21 60 39
51.623221, 127.0.0.1, /block 19 58 32
51.652015, 127.0.0.1, /block 19 54 29
51.679282, 127.0.0.1, /block 20 49 28
51.707733, 127.0.0.1, /block 22 46 40
51.734901, 127.0.0.1, /block 25 44 59
51.763748, 127.0.0.1, /block 30 40 50
51.791622, 127.0.0.1, /block 35 38 46
51.820015, 127.0.0.1, /block 41 34 51
51.847539, 127.0.0.1, /block 44 30 55
51.874741, 127.0.0.1, /block 54 28 63
51.903501, 127.0.0.1, /block 60 25 46
51.931921, 127.0.0.1, /block 68 25 24
51.959853, 127.0.0.1, /block 73 26 16
51.986728, 127.0.0.1, /block 78 30 15
52.015394, 127.0.0.1, /block 80 30 16
52.043912, 127.0.0.1, /block 80 31 38
52.071948, 127.0.0.1, /block 80 32 82
52.099796, 127.0.0.1, /block 79 33 127
52.127643, 127.0.0.1, /block 78 31 127
52.155006, 127.0.0.1, /block 79 29 127
52.183520, 127.0.0.1, /block 80 29 79
52.211841, 127.0.0.1, /block 88 30 32
52.239097, 127.0.0.1, /block 88 30 0
52.267756, 127.0.0.1, /block 84 30 0
52.294800, 127.0.0.1, /block 83 36 63
52.323726, 127.0.0.1, /block 83 37 127
52.351801, 127.0.0.1, /block 83 37 127
